"Isolate_Id","Subtype","Submitting_Lab","Originating_Lab"
"EPI_ISL_17064490","A/H3N2","Icahn School of Medicine at Mount Sinai","Icahn School of Medicine at Mount Sinai"
"EPI_ISL_16491611","A/H3N2","U.S. Air Force School of Aerospace Medicine","U.S. Air Force School of Aerospace Medicine"
"EPI_ISL_16935625","A/H3N2","University of Michigan","Vanderbilt University Medical Center"
"EPI_ISL_15898313","A/H3N2","Hospital Universitari Vall d'Hebron","Hospital Universitari Vall d'Hebron"
"EPI_ISL_16101531","A/H3N2","Roy Romanow Provincial Laboratory","Roy Romanow Provincial Laboratory"
"EPI_ISL_16836703","A/H3N2","Crick Worldwide Influenza Centre","Centre Pasteur du Cameroun"
"EPI_ISL_16755582","A/H3N2","B.C. Centre for Disease Control","Public Health Ontario"
"EPI_ISL_18094074","A/H3N2","Sheikh Khalifa Medical City (SKMC)","Reference Laboratory for Infectious Disease (Surveillance Lab)"
"EPI_ISL_18366315","A/H3N2","USAMC Armed Forces Medical Research Institute of Medial Sciences","USAMC-AFRIMS Department of Virology"
"EPI_ISL_17699902","A/H3N2","Centers for Disease Control and Prevention","Royal Centre for Disease Control"
"EPI_ISL_18366318","A/H3N2","USAMC Armed Forces Medical Research Institute of Medial Sciences","USAMC-AFRIMS Department of Virology"
"EPI_ISL_16833741","A/H3N2","Centers for Disease Control and Prevention","Laboratório de Isolamento Viral"
"EPI_ISL_17077359","A/H3N2","Evandro Chagas Institute","Evandro Chagas Institute"
"EPI_ISL_16834727","A/H3N2","Centers for Disease Control and Prevention","Royal Centre for Disease Control"
"EPI_ISL_16759963","A/H3N2","Crick Worldwide Influenza Centre","National Influenza Centre-Tunis, Unit Virology, Microbiology Laboratory, Charles Nicolle's Hospital"
"EPI_ISL_16836360","A/H3N2","Centers for Disease Control and Prevention","INSPI"
"EPI_ISL_16873595","A/H3N2","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_16384391","A/H3N2","Centers for Disease Control and Prevention","Nebraska Public Health Lab"
"EPI_ISL_16283441","A/H3N2","British Columbia Centre for Disease Control","B.C. Centre for Disease Control"
"EPI_ISL_16833750","A/H3N2","Centers for Disease Control and Prevention","Laboratório de Isolamento Viral"
"EPI_ISL_17699905","A/H3N2","Centers for Disease Control and Prevention","Royal Centre for Disease Control"
"EPI_ISL_16766285","A/H3N2","Johns Hopkins School of Medicine","Johns Hopkins School of Medicine"
"EPI_ISL_16559091","A/H3N2","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_16755673","A/H3N2","B.C. Centre for Disease Control","Laboratoire de Santé Publique du Québec"
"EPI_ISL_18007332","A/H3N2","Crick Worldwide Influenza Centre","Ministry of Health and Population"
"EPI_ISL_16887018","A/H3N2",NA,NA
"EPI_ISL_16836633","A/H3N2","Centers for Disease Control and Prevention","Georgia Public Health Laboratory"
"EPI_ISL_16559111","A/H3N2","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_17065808","A/H3N2","Icahn School of Medicine at Mount Sinai","Icahn School of Medicine at Mount Sinai"
"EPI_ISL_16401604","A/H3N2","British Columbia Centre for Disease Control","B.C. Centre for Disease Control"
"EPI_ISL_16744596","A/H3N2","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","Laboratório Central de Saúde Pública (LACEN RJ)"
"EPI_ISL_16855378","A/H3N2","Comenius University Science Park","Public Health Authority of the Slovak Republic"
"EPI_ISL_18007333","A/H3N2","Crick Worldwide Influenza Centre","Ministry of Health and Population"
"EPI_ISL_16631780","A/H3N2","University of Michigan","University of Michigan Clinical Microbiology Laboratory"
"EPI_ISL_16922202","A/H3N2","Korea Disease Control and Prevention Agency (KDCA)","Korea Disease Control and Prevention Agency (KDCA)"
"EPI_ISL_16759961","A/H3N2","Crick Worldwide Influenza Centre","National Influenza Centre-Tunis, Unit Virology, Microbiology Laboratory, Charles Nicolle's Hospital"
"EPI_ISL_16559110","A/H3N2","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_16645156","A/H3N2","Thai National Influenza Center","Thai National Influenza Center"
"EPI_ISL_16755610","A/H3N2","B.C. Centre for Disease Control","Public Health Ontario"
"EPI_ISL_16873578","A/H3N2","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_16759959","A/H3N2","Crick Worldwide Influenza Centre","National Influenza Centre-Tunis, Unit Virology, Microbiology Laboratory, Charles Nicolle's Hospital"
"EPI_ISL_17223911","A/H3N2","Crick Worldwide Influenza Centre","Institut National d'Hygiène"
"EPI_ISL_17038078","A/H3N2","Robert Koch Institute Nationales Referenzzentrum für Influenza","Robert Koch-Institute Nationales Referenzzentrum für Influenza"
"EPI_ISL_16559092","A/H3N2","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_17401980","A/H3N2","University of Michigan","Henry Ford Health Microbiology Laboratory"
"EPI_ISL_16868887","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","Sher-i-Kashmir Institute of Medical Sciences"
"EPI_ISL_16759952","A/H3N2","Crick Worldwide Influenza Centre","National Influenza Centre-Tunis, Unit Virology, Microbiology Laboratory, Charles Nicolle's Hospital"
"EPI_ISL_16761538","A/H3N2","Centers for Disease Control and Prevention","Oregon Public Health Laboratory"
"EPI_ISL_16886879","A/H3N2","UK Health Security Agency - Colindale","UK Health Security Agency - Colindale"
"EPI_ISL_16872430","A/H3N2","University of Michigan","University of Michigan Clinical Microbiology Laboratory"
"EPI_ISL_18781822","A/H3N2","Sheikh Khalifa Medical City (SKMC)","Reference Laboratory for Infectious Disease (Surveillance Lab)"
"EPI_ISL_16749100","A/H3N2","UK Health Security Agency - Colindale","UK Health Security Agency - Colindale"
"EPI_ISL_16922188","A/H3N2","Korea Disease Control and Prevention Agency (KDCA)","Korea Disease Control and Prevention Agency (KDCA)"
"EPI_ISL_16559097","A/H3N2","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_16811177","A/H3N2","National Institute of Public Health (Czech Republic)","National Institute of Public Health"
"EPI_ISL_18044551","A/H3N2","Crick Worldwide Influenza Centre","Institut Pasteur d'Algerie"
"EPI_ISL_17018977","A/H3N2","University of Michigan","Vanderbilt University Medical Center"
"EPI_ISL_16765115","A/H3N2","Centers for Disease Control and Prevention","Missouri Department. of Health & Senior Services"
"EPI_ISL_16886812","A/H3N2","UK Health Security Agency - Colindale","UK Health Security Agency - Colindale"
"EPI_ISL_17100746","A/H3N2","Centers for Disease Control and Prevention","Centre de Recherche Medicale et Sanitaire (CERMES)"
"EPI_ISL_16755588","A/H3N2","B.C. Centre for Disease Control","Public Health Ontario"
"EPI_ISL_16757402","A/H3N2","Institut Pasteur","Institut Pasteur"
"EPI_ISL_17981143","A/H3N2","Centers for Disease Control and Prevention","Rafic Hariri University Hospital 4th floor DNA/Research Lab"
"EPI_ISL_16835645","A/H3N2","Centers for Disease Control and Prevention","Royal Centre for Disease Control"
"EPI_ISL_18781644","A/H3N2","Sheikh Khalifa Medical City (SKMC)","Reference Laboratory for Infectious Disease (Surveillance Lab)"
"EPI_ISL_16196731","A/H3N2","Hospital Universitari Vall d'Hebron","Hospital Universitari Doctor Josep Trueta"
"EPI_ISL_17223807","A/H3N2","Crick Worldwide Influenza Centre","Ministry of Health and Wellness, Mauritius"
"EPI_ISL_16744605","A/H3N2","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","Laboratório Central de Saúde Pública (LACEN RJ)"
"EPI_ISL_16645165","A/H3N2","Thai National Influenza Center","Thai National Influenza Center"
"EPI_ISL_16744604","A/H3N2","Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)","Laboratório Central de Saúde Pública (LACEN RJ)"
"EPI_ISL_17100747","A/H3N2","Centers for Disease Control and Prevention","Centre de Recherche Medicale et Sanitaire (CERMES)"
"EPI_ISL_16836682","A/H3N2","Crick Worldwide Influenza Centre","National Influenza Centre-Tunis, Unit Virology, Microbiology Laboratory, Charles Nicolle's Hospital"
"EPI_ISL_18781851","A/H3N2","Sheikh Khalifa Medical City (SKMC)","Reference Laboratory for Infectious Disease (Surveillance Lab)"
"EPI_ISL_18054192","A/H3N2","Laboratório Central de Saúde Publica do estado da Bahia","Laboratório Central de Saúde Pública Professor Gonçalo Moniz, LACEN-BA"
"EPI_ISL_17555692","A/H3N2","University of Genoa","University of Genoa"
"EPI_ISL_16836923","A/H3N2","Centers for Disease Control and Prevention","National Institute of Health"
"EPI_ISL_18366325","A/H3N2","USAMC Armed Forces Medical Research Institute of Medial Sciences","USAMC-AFRIMS Department of Virology"
"EPI_ISL_16390312","A/H3N2","National Institute for Public Health and the Environment (RIVM)","Academic Medical Center, University of Amsterdam"
"EPI_ISL_17551871","A/H3N2","University of Michigan","University of Michigan Clinical Microbiology Laboratory"
"EPI_ISL_18755516","A/H3N2","University of Pennsylvania","University of Pennsylvania"
"EPI_ISL_16937063","A/H3N2","UK Health Security Agency - Colindale","UK Health Security Agency - Colindale"
"EPI_ISL_17224996","A/H3N2","UK Health Security Agency - Colindale","UK Health Security Agency - Colindale"
"EPI_ISL_17527263","A/H3N2","National Institute of Infectious Diseases (NIID)","Saitama City Institute of Health  Science and Research"
"EPI_ISL_18775912","A/H3N2","University of Oxford","University of Oxford"
"EPI_ISL_18127669","A/H3N2","National Center for Disease Control and Public Health, Georgia","National Center for Disease Control and Public Health, Georgia"
"EPI_ISL_16872646","A/H3N2","University of Michigan","University of Michigan Clinical Microbiology Laboratory"
"EPI_ISL_17625809","A/H3N2","Centers for Disease Control and Prevention","New York State Department of Health"
"EPI_ISL_18076819","A/H3N2","University of Michigan","University of Michigan Clinical Microbiology Laboratory"
"EPI_ISL_16822763","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_17804591","A/H3N2","University of Michigan","University of Michigan Clinical Microbiology Laboratory"
"EPI_ISL_17244495","A/H3N2","National Institute of Infectious Diseases (NIID)","Okinawa Prefectural Institute of Health and Environment"
"EPI_ISL_16835674","A/H3N2","Centers for Disease Control and Prevention","Pasteur Institut of Côte d'Ivoire"
"PP562714.1","A/H3N2","Los Angeles County Public Health Lab microbial pathogen submission group, Los Angeles County Public Health Laboratories",NA
"EPI_ISL_17528986","A/H3N2","Medical University Vienna","Department of Virology, Medical University Vienna"
"EPI_ISL_17239725","A/H3N2","Public Health Agency of Canada (PHAC)","Roy Romanow Provincial Laboratory"
"EPI_ISL_16822914","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_16899226","A/H3N2","WHO Collaborating Centre for Reference and Research on Influenza","Medical Research Institute"
"EPI_ISL_17008561","A/H3N2","U.S. Air Force School of Aerospace Medicine","U.S. Air Force School of Aerospace Medicine"
"EPI_ISL_17152472","A/H3N2","Korea Disease Control and Prevention Agency (KDCA)","Korea Disease Control and Prevention Agency (KDCA)"
"EPI_ISL_16822899","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","CNR Virus des Infections Respiratoires - France SUD"
"EPI_ISL_16836021","A/H3N2","Centers for Disease Control and Prevention","Pasteur Institut of Côte d'Ivoire"
"EPI_ISL_17086401","A/H3N2",NA,NA
"EPI_ISL_17223852","A/H3N2","Crick Worldwide Influenza Centre","Institut National d'Hygiène"
"EPI_ISL_16834306","A/H3N2","Centers for Disease Control and Prevention","Montana Laboratory Services Bureau"
"EPI_ISL_17454577","A/H3N2","Azienda Sanitaria dell'Alto Adige","Laboratorio Aziendale di Microbiologia e Virologia/Comprensorio sanitario di Bolzano"
"EPI_ISL_17820166","A/H3N2","Crick Worldwide Influenza Centre","Health Protection Inspectorate"
"EPI_ISL_17965796","A/H3N2","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_17223824","A/H3N2","Crick Worldwide Influenza Centre","Hellenic Pasteur Institute"
"EPI_ISL_17817555","A/H3N2","University of Michigan","Henry Ford Health Microbiology Laboratory"
"EPI_ISL_17974217","A/H3N2","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_17244522","A/H3N2","National Institute of Infectious Diseases (NIID)","Niigata Prefectural Institute of Public Health and Environmental Sciences"
"EPI_ISL_17244635","A/H3N2","National Institute of Infectious Diseases (NIID)","Sapporo City Institute of Public Health"
"EPI_ISL_16836725","A/H3N2","Crick Worldwide Influenza Centre","Rafic Hariri University Hospital 4th floor DNA/Research Lab"
"EPI_ISL_18008502","A/H3N2","Crick Worldwide Influenza Centre","Institute of Immunology and Virology Torlak"
"EPI_ISL_17086439","A/H3N2",NA,NA
"EPI_ISL_17100379","A/H3N2","Centers for Disease Control and Prevention","Montana Laboratory Services Bureau"
"EPI_ISL_18708924","A/H3N2","Centers for Disease Control and Prevention","Centre de Recherche Medicale et Sanitaire (CERMES)"
"EPI_ISL_17008574","A/H3N2","U.S. Air Force School of Aerospace Medicine","U.S. Air Force School of Aerospace Medicine"
"EPI_ISL_16922269","A/H3N2","Korea Disease Control and Prevention Agency (KDCA)","Korea Disease Control and Prevention Agency (KDCA)"
"EPI_ISL_16740673","A/H3N2","Hospital Universitari Vall d'Hebron","Hospital Universitari Vall d'Hebron"
"EPI_ISL_17246691","A/H3N2","Comenius University Science Park","National Public Health Institute of Slovakia"
"EPI_ISL_16922219","A/H3N2","Korea Disease Control and Prevention Agency (KDCA)","Korea Disease Control and Prevention Agency (KDCA)"
"EPI_ISL_17982368","A/H3N2","University of KwaZulu-Natal","Centre for Epidemic Response and Innovation (CERI), Stellenbosch University"
"EPI_ISL_17805072","A/H3N2",NA,NA
"EPI_ISL_17672605","A/H3N2","WHO National Influenza Centre Russian Federation","Research Institute of Influenza, Ministry of Healthcare of the Russian Federation"
"EPI_ISL_17789927","A/H3N2","National Institute of Infectious Diseases (NIID)","Yamagata Prefectural Institute of Public Health"
"EPI_ISL_17150674","A/H3N2","Korea Disease Control and Prevention Agency (KDCA)","Korea Disease Control and Prevention Agency (KDCA)"
"EPI_ISL_17805080","A/H3N2",NA,NA
"EPI_ISL_17789920","A/H3N2","National Institute of Infectious Diseases (NIID)","Saitama City Institute of Health  Science and Research"
"EPI_ISL_17250850","A/H3N2",NA,NA
"EPI_ISL_17465780","A/H3N2","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_18131272","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","Sher-i-Kashmir Institute of Medical Sciences"
"EPI_ISL_17517142","A/H3N2","National Institute of Infectious Diseases (NIID)","Mie Prefecture Health and Environment Research Institute"
"EPI_ISL_18231470","A/H3N2","National Institute of Infectious Diseases (NIID)","National Public Health Laboratory"
"EPI_ISL_17974581","A/H3N2","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_18068872","A/H3N2","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_17465758","A/H3N2","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_18138341","A/H3N2","National Public Health Laboratory, Nepal","National Public Health Laboratory, Nepal"
"EPI_ISL_18131275","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","Sher-i-Kashmir Institute of Medical Sciences"
"EPI_ISL_18658947","A/H3N2","Jining Center for Disease Control and Prevention","Jining Center for Disease Control and Prevention"
"EPI_ISL_17980075","A/H3N2","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_18673212","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","Kenya Medical Research Institute"
"OQ933179.1","A/H3N2","Nantong Center for Disease Prevention and Control, Molecular Biology Laboratory",NA
"EPI_ISL_18165352","A/H3N2","WHO Collaborating Centre for Reference and Research on Influenza","National Institute for Communicable Disease"
"EPI_ISL_18068841","A/H3N2","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_18167332","A/H3N2","Crick Worldwide Influenza Centre","Public Health Agency of Sweden"
"EPI_ISL_18068549","A/H3N2","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_18118616","A/H3N2","National Public Health Laboratory, Nepal","National Public Health Laboratory"
"EPI_ISL_17886027","A/H3N2",NA,NA
"EPI_ISL_17960799","A/H3N2","National Influenza Center, Zambia","University Teaching Hospital, MoH Zambia"
"EPI_ISL_18659262","A/H3N2","Jining Center for Disease Control and Prevention","Jining Center for Disease Control and Prevention"
"EPI_ISL_18068522","A/H3N2","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_18068804","A/H3N2","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_17952515","A/H3N2","National Institute of Infectious Diseases (NIID)","Nagano Environmental Conservation Research Institute"
"EPI_ISL_18457537","A/H3N2","National Institute of Health, Malaysia","Hospital Pulau Pinang"
"EPI_ISL_18230471","A/H3N2","Centers for Disease Control and Prevention","icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh"
"EPI_ISL_17973489","A/H3N2","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_18068798","A/H3N2","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_18068794","A/H3N2","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_18230457","A/H3N2","Centers for Disease Control and Prevention","icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh"
"EPI_ISL_18068769","A/H3N2","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_18728181","A/H3N2","Balai Besar Laboratorium Biologi Kesehatan","Balai Besar Laboratorium Biologi Kesehatan"
"EPI_ISL_18230421","A/H3N2","Centers for Disease Control and Prevention","National Institute for Communicable Disease"
"EPI_ISL_18856374","A/H3N2","Kenya Medical Research Institute (KEMRI)","USAMRD-A"
"EPI_ISL_17949146","A/H3N2","National Institute for Communicable Diseases (NICD)","National Institute for Communicable Diseases (NICD)"
"EPI_ISL_17996405","A/H3N2","National Institute for Communicable Diseases (NICD)","National Institute for Communicable Diseases (NICD)"
"EPI_ISL_17949142","A/H3N2","National Institute for Communicable Diseases (NICD)","National Institute for Communicable Diseases (NICD)"
"EPI_ISL_18128384","A/H3N2","Vaccines and Infectious Diseases Analytics Research Unit","Wits-VIDA"
"EPI_ISL_17996398","A/H3N2","National Institute for Communicable Diseases (NICD)","National Institute for Communicable Diseases (NICD)"
"EPI_ISL_18111784","A/H3N2","National Institute of Infectious Diseases (NIID)","Akita Research Center for Public Health and Environment"
"EPI_ISL_18366329","A/H3N2","National Institute of Infectious Diseases (NIID)","Kochi Public Health and Sanitation Institute"
"EPI_ISL_18108943","A/H3N2","Centers for Disease Control and Prevention","Ministry of Health"
"EPI_ISL_18106002","A/H3N2","National Institute for Communicable Diseases (NICD)","National Institute for Communicable Diseases (NICD)"
"EPI_ISL_18771468","A/H3N2","National Institute of Health, Malaysia","Tuanku Ja'afar Hospital,"
"EPI_ISL_18231808","A/H3N2","Korea Disease Control and Prevention Agency (KDCA)","Korea Disease Control and Prevention Agency (KDCA)"
"EPI_ISL_18106116","A/H3N2","National Institute for Communicable Diseases (NICD)","National Institute for Communicable Diseases (NICD)"
"EPI_ISL_18068754","A/H3N2","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_18385031","A/H3N2","National Institute for Communicable Diseases (NICD)","National Institute for Communicable Diseases (NICD)"
"EPI_ISL_18385049","A/H3N2","National Institute for Communicable Diseases (NICD)","National Institute for Communicable Diseases (NICD)"
"EPI_ISL_18090819","A/H3N2","Centers for Disease Control and Prevention","Royal Centre for Disease Control"
"EPI_ISL_18215902","A/H3N2","National Institute for Communicable Diseases (NICD)","National Institute for Communicable Diseases (NICD)"
"EPI_ISL_18742442","A/H3N2","Centers for Disease Control and Prevention","icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh"
"EPI_ISL_18485099","A/H3N2","WHO Collaborating Centre for Reference and Research on Influenza","Laboratorio De Saude Publico"
"EPI_ISL_18742527","A/H3N2","Centers for Disease Control and Prevention","icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh"
"EPI_ISL_18551628","A/H3N2","Vaccines and Infectious Diseases Analytics Research Unit","Wits-VIDA"
"EPI_ISL_18908458","A/H3N2","International Centre for Diarrhoeal Disease Research (icddr,b)","icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh"
"EPI_ISL_18599186","A/H3N2","CNR Virus des Infections Respiratoires, France SUD","Kenya Medical Research Institute"
"EPI_ISL_18485096","A/H3N2","WHO Collaborating Centre for Reference and Research on Influenza","Monash Medical Centre"
"EPI_ISL_18837691","A/H3N2","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_18451776","A/H3N2","Centers for Disease Control and Prevention","Royal Centre for Disease Control"
"EPI_ISL_18133606","A/H3N2","Thai National Influenza Center","Thai National Influenza Center"
"EPI_ISL_18378251","A/H3N2","National Influenza Center, Zambia","University Teaching Hospital, MoH Zambia"
"EPI_ISL_18689088","A/H3N2","National Influenza Center, Zambia","University Teaching Hospital, MoH Zambia"
"EPI_ISL_18785486","A/H3N2","Centers for Disease Control and Prevention","Ministry of Health"
"EPI_ISL_18451769","A/H3N2","Centers for Disease Control and Prevention","Royal Centre for Disease Control"
"EPI_ISL_18742523","A/H3N2","Centers for Disease Control and Prevention","icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh"
"EPI_ISL_18451768","A/H3N2","Centers for Disease Control and Prevention","Royal Centre for Disease Control"
"EPI_ISL_18242221","A/H3N2","WHO Collaborating Centre for Reference and Research on Influenza","Medical Research Institute"
"EPI_ISL_18560922","A/H3N2","KEMRI-Wellcome Trust Research Programme","KEMRI Wellcome Trust Research Programme (KWTRP)"
"EPI_ISL_18560923","A/H3N2","KEMRI-Wellcome Trust Research Programme","KEMRI Wellcome Trust Research Programme (KWTRP)"
"EPI_ISL_18831309","A/H3N2","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_18272576","A/H3N2","ICMR-National Institute of Virology","ICMR-National Institute of Virology"
"EPI_ISL_18246521","A/H3N2","Thai National Influenza Center","Thai National Influenza Center"
"EPI_ISL_18742450","A/H3N2","Centers for Disease Control and Prevention","icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh"
"EPI_ISL_18496345","A/H3N2","National Influenza Center, Zambia","University Teaching Hospital, MoH Zambia"
"EPI_ISL_18430820","A/H3N2","Centers for Disease Control and Prevention","Royal Centre for Disease Control"
"EPI_ISL_18784664","A/H3N2","Centers for Disease Control and Prevention","icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh"
"EPI_ISL_18560940","A/H3N2","KEMRI-Wellcome Trust Research Programme","KEMRI Wellcome Trust Research Programme (KWTRP)"
"EPI_ISL_18877113","A/H3N2","ICMR-National Institute of Virology","ICMR-National Institute of Virology"
"EPI_ISL_18837697","A/H3N2","Ministry of Health, Singapore","Ministry of Health, Singapore"
"EPI_ISL_18857283","A/H3N2","Centers for Disease Control and Prevention","icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh"
"EPI_ISL_18560947","A/H3N2","KEMRI-Wellcome Trust Research Programme","KEMRI Wellcome Trust Research Programme (KWTRP)"
"EPI_ISL_18742487","A/H3N2","Centers for Disease Control and Prevention","Institute of Epidemiology Disease Control and Research (IEDCR) & Bangladesh National Influenza Centre (NIC)"
"EPI_ISL_18613881","A/H3N2","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_18613882","A/H3N2","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_18820521","A/H3N2","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_18506298","A/H3N2","Thai National Influenza Center","Thai National Influenza Center"
"EPI_ISL_18847164","A/H3N2","King George's Medical University","King George's Medical University"
"EPI_ISL_18613480","A/H3N2","Crick Worldwide Influenza Centre","Supreme Health Council"
"EPI_ISL_18949292","A/H3N2","National Institute of Health, Malaysia","Hospital Tengku Ampuan Rahimah, Klang"
"EPI_ISL_19034486","A/H3N2","Centers for Disease Control and Prevention","Noguchi Memorial Institute for Medical Research (NMIMR)"
"EPI_ISL_18962740","A/H3N2","Crick Worldwide Influenza Centre","Institut Pasteur de Madagascar"
"EPI_ISL_18857106","A/H3N2","Centers for Disease Control and Prevention","Royal Centre for Disease Control"
"EPI_ISL_18811998","A/H3N2","Crick Worldwide Influenza Centre","Institute National D'Hygiene"
"EPI_ISL_18957254","A/H3N2","Centers for Disease Control and Prevention","INRB Service de Virologie"
"EPI_ISL_18607616","A/H3N2","Centers for Disease Control and Prevention","Royal Centre for Disease Control"
"EPI_ISL_18539964","A/H3N2","Thai National Influenza Center","Thai National Influenza Center"
"EPI_ISL_18613814","A/H3N2","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_18934402","A/H3N2","Centers for Disease Control and Prevention","National Institute of Virology"
"EPI_ISL_18785760","A/H3N2","Centers for Disease Control and Prevention","Ministry of Health"
"EPI_ISL_18613802","A/H3N2","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_18466086","A/H3N2","Wuhan Center for Disease Control and Prevention","Wuhan Center for Disease Control and Prevention"
"EPI_ISL_18584697","A/H3N2","National Institute of Infectious Diseases (NIID)","National Institute of Infectious Diseases (NIID)"
"EPI_ISL_18820619","A/H3N2","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_18857136","A/H3N2","Centers for Disease Control and Prevention","National Institute of Health"
"EPI_ISL_18604004","A/H3N2","Thai National Influenza Center","Thai National Influenza Center"
"EPI_ISL_18716424","A/H3N2","Ministry of Health, Central Public Health Laboratory","Central Public Health Laboratories Oman"
"EPI_ISL_18820474","A/H3N2","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_18799171","A/H3N2","National Institute of Infectious Diseases (NIID)","Sendai City Institute of Public Health"
"EPI_ISL_18820606","A/H3N2","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_18699130","A/H3N2","National Institute of Health, Pakistan","National Institute of Health"
"EPI_ISL_18962569","A/H3N2","Crick Worldwide Influenza Centre","Institut Pasteur de Madagascar"
"EPI_ISL_18820605","A/H3N2","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_18857168","A/H3N2","Centers for Disease Control and Prevention","Pasteur Institut of Côte d'Ivoire"
"EPI_ISL_18820506","A/H3N2","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"PP478143.1","A/H3N2","Linyi Maternal and Child Healthcare Hospital, Laboratory of birth defects",NA
"EPI_ISL_18693483","A/H3N2","Thai National Influenza Center","Thai National Influenza Center"
"EPI_ISL_18784817","A/H3N2","Centers for Disease Control and Prevention","Ministry of Health"
"EPI_ISL_18856710","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_18856711","A/H3N2","Crick Worldwide Influenza Centre","Government Virus Unit"
"EPI_ISL_18820499","A/H3N2","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"PP478145.1","A/H3N2","Linyi Maternal and Child Healthcare Hospital, Laboratory of birth defects",NA
"PP478144.1","A/H3N2","Linyi Maternal and Child Healthcare Hospital, Laboratory of birth defects",NA
"EPI_ISL_18785763","A/H3N2","Centers for Disease Control and Prevention","Ministry of Health"
"EPI_ISL_18851566","A/H3N2","WHO Chinese National Influenza Center","WHO Chinese National Influenza Center"
"EPI_ISL_19018558","A/H3N2","National Institute of Infectious Diseases (NIID)","Sapporo City Institute of Public Health"
